Year,CountryCode,HostCity,HostCountry,HostCountryCode,Awarded.Gold,Awarded.Silver,Awarded.Bronze,Awarded.Total,Population,GDPpC,pre_host2,pre_host,Host,post_host,post_host2,gold_pre1,med_pre1,gold_pre2,med_pre2,gold_pre3,med_pre3,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,KOR,Barcelona,Spain,ESP,260,257,298,815,43.37810135,13510.3322704556,N,Y,N,N,N,12,33,6,19,NA,NA,211,12,5,12,29
1992,KSA,Barcelona,Spain,ESP,260,257,298,815,16.86782837,17717.8279707621,N,N,N,N,N,0,0,0,0,NA,NA,15,0,0,0,0
1992,KUW,Barcelona,Spain,ESP,260,257,298,815,2.035660982,11997.6243175839,N,N,N,N,N,0,0,0,0,0,0,19,0,0,0,0
1992,LAO,Barcelona,Spain,ESP,260,257,298,815,4.380073071,1173.76573510593,N,N,N,N,N,0,0,NA,NA,0,0,7,0,0,0,0
1992,LAT,Barcelona,Spain,ESP,260,257,298,815,2.64915204,14219.7402569616,N,N,N,N,N,NA,NA,NA,NA,NA,NA,36,0,2,1,3
1992,LBA,Barcelona,Spain,ESP,260,257,298,815,4.544,7042.25352112676,N,N,N,N,N,0,0,NA,NA,0,0,5,0,0,0,0
1992,LES,Barcelona,Spain,ESP,260,257,298,815,1.634516954,1422.93971702664,N,N,N,N,N,0,0,0,0,0,0,8,0,0,0,0
1992,LIB,Barcelona,Spain,ESP,260,257,298,815,2.922,1605.06502395619,N,N,N,N,N,0,0,0,0,0,1,18,0,0,0,0
1992,LIE,Barcelona,Spain,ESP,260,257,298,815,0.0292,50821.9178082192,N,N,N,N,N,0,0,0,0,NA,NA,8,0,0,0,0
1992,LTU,Barcelona,Spain,ESP,260,257,298,815,3.697453022,11642.2783694262,N,N,N,N,N,NA,NA,NA,NA,NA,NA,36,1,0,1,2
1992,LUX,Barcelona,Spain,ESP,260,257,298,815,0.386352003,45637.0276149442,N,N,N,N,N,0,0,0,0,0,0,8,0,0,0,0
1992,MAD,Barcelona,Spain,ESP,260,257,298,815,11.94281864,1178.46987166507,N,N,N,N,N,NA,NA,0,0,0,0,16,0,0,0,0
1992,MAR,Barcelona,Spain,ESP,260,257,298,815,25.33686256,4398.34634758346,N,N,N,N,N,1,3,2,2,NA,NA,27,1,1,1,3
1992,MAS,Barcelona,Spain,ESP,260,257,298,815,18.52945328,8634.60193251854,N,N,N,N,N,0,0,0,0,NA,NA,13,0,0,1,1
1992,MAW,Barcelona,Spain,ESP,260,257,298,815,9.641153336,1020.52369131618,N,N,N,N,N,0,0,0,0,NA,NA,4,0,0,0,0
1992,MDV,Barcelona,Spain,ESP,260,257,298,815,0.229754001,4874.98205091105,N,N,N,N,N,0,0,NA,NA,NA,NA,10,0,0,0,0
1992,MEX,Barcelona,Spain,ESP,260,257,298,815,87.07151031,11509.8016496092,N,N,N,N,N,0,2,2,6,0,4,98,0,1,0,1
1992,MGL,Barcelona,Spain,ESP,260,257,298,815,2.217917919,2401.64781093506,N,N,N,N,N,0,1,NA,NA,0,4,35,0,0,2,2
1992,MLI,Barcelona,Spain,ESP,260,257,298,815,8.652514458,733.926377681876,N,N,N,N,N,0,0,0,0,0,0,6,0,0,0,0
1992,MLT,Barcelona,Spain,ESP,260,257,298,815,0.367527992,14368.860633614,N,N,N,N,N,0,0,0,0,0,0,8,0,0,0,0
1992,MON,Barcelona,Spain,ESP,260,257,298,815,0.029622,83721.5583012626,N,N,N,N,N,0,0,0,0,NA,NA,4,0,0,0,0
1992,MOZ,Barcelona,Spain,ESP,260,257,298,815,13.59197044,530.939332958114,N,N,N,N,N,0,0,0,0,0,0,7,0,0,0,0
1992,MRI,Barcelona,Spain,ESP,260,257,298,815,1.068439007,10304.7931588668,N,N,N,N,N,0,0,0,0,NA,NA,18,0,0,0,0
1992,MTN,Barcelona,Spain,ESP,260,257,298,815,2.085201979,1976.68740079399,N,N,N,N,N,0,0,0,0,NA,NA,6,0,0,0,0
1992,MYA,Barcelona,Spain,ESP,260,257,298,815,41.19015503,770.830669291608,N,N,N,N,N,0,0,0,0,0,0,5,0,0,0,0
1992,NAM,Barcelona,Spain,ESP,260,257,298,815,1.465739965,4806.16317847347,N,N,N,N,N,NA,NA,NA,NA,NA,NA,10,0,2,0,2
1992,NCA,Barcelona,Spain,ESP,260,257,298,815,4.236801147,2981.74705436559,N,N,N,N,N,NA,NA,0,0,0,0,9,0,0,0,0
1992,NED,Barcelona,Spain,ESP,260,257,298,815,15.06451893,26933.385784527,N,N,N,N,N,2,9,5,13,0,3,140,2,6,7,15
1992,NEP,Barcelona,Spain,ESP,260,257,298,815,19.24505424,1037.79910157323,N,N,N,N,N,0,0,0,0,0,0,2,0,0,0,0
1992,NGR,Barcelona,Spain,ESP,260,257,298,815,97.72632599,696.720208810134,N,N,N,N,N,0,0,0,2,0,0,44,0,3,1,4
1992,NIG,Barcelona,Spain,ESP,260,257,298,815,8.272975922,803.887684395946,N,N,N,N,N,0,0,0,0,NA,NA,3,0,0,0,0
1992,NOR,Barcelona,Spain,ESP,260,257,298,815,4.269471169,26668.1630096751,N,N,N,N,N,2,5,0,3,NA,NA,75,2,4,1,7
1992,NZL,Barcelona,Spain,ESP,260,257,298,815,3.446170092,20233.5145824253,N,N,N,N,N,3,13,8,11,0,0,105,1,4,5,10
1992,OMA,Barcelona,Spain,ESP,260,257,298,815,1.893771052,9918.39737446784,N,N,N,N,N,0,0,0,0,NA,NA,5,0,0,0,0
1992,PAK,Barcelona,Spain,ESP,260,257,298,815,110.730423,2467.66024275009,N,N,N,N,N,0,1,1,1,NA,NA,12,0,0,1,1
1992,PAN,Barcelona,Spain,ESP,260,257,298,815,2.523180962,6693.49162202501,N,N,N,N,N,0,0,0,0,NA,NA,7,0,0,0,0
1992,PAR,Barcelona,Spain,ESP,260,257,298,815,4.323410034,3672.38012474854,N,N,N,N,N,0,0,0,0,NA,NA,14,0,0,0,0
1992,PER,Barcelona,Spain,ESP,260,257,298,815,22.28312874,3526.46352075961,N,N,N,N,N,0,1,0,1,0,0,19,0,1,0,1
1992,PHI,Barcelona,Spain,ESP,260,257,298,815,63.50845718,3542.17071062535,N,N,N,N,N,0,1,0,0,NA,NA,33,0,0,1,1
1992,PNG,Barcelona,Spain,ESP,260,257,298,815,4.726,801.31189166314,N,N,N,N,N,0,0,0,0,NA,NA,16,0,0,0,0
1992,POL,Barcelona,Spain,ESP,260,257,298,815,38.07721329,7676.04509484313,N,N,N,N,N,2,16,NA,NA,3,32,193,3,6,10,19
1992,POR,Barcelona,Spain,ESP,260,257,298,815,9.974194527,15256.2992919458,N,N,N,N,N,1,1,1,3,0,0,91,0,0,0,0
1992,PRK,Barcelona,Spain,ESP,260,257,298,815,20.61,1111.11111111111,N,N,N,N,N,NA,NA,NA,NA,0,5,112,4,0,5,9
1992,PUR,Barcelona,Spain,ESP,260,257,298,815,3.435253,9399.59880684188,N,N,N,N,N,0,0,0,2,0,0,60,0,0,1,1
1992,QAT,Barcelona,Spain,ESP,260,257,298,815,0.487491012,22945.3288874175,N,N,N,N,N,0,0,0,0,NA,NA,11,0,0,1,1
1992,ROU,Barcelona,Spain,ESP,260,257,298,815,23.45421219,6692.25006700172,N,N,N,N,N,7,24,20,53,6,25,215,4,6,8,18
1992,RSA,Barcelona,Spain,ESP,260,257,298,815,38.43785477,8115.40639732741,N,N,N,N,N,NA,NA,NA,NA,NA,NA,109,0,2,0,2
1992,RWA,Barcelona,Spain,ESP,260,257,298,815,7.051758766,960.544046778585,N,N,N,N,N,0,0,0,0,NA,NA,10,0,0,0,0
