Year,CountryCode,ISOCode,TotalEntries,GoldMedals,SilverMedals,BronzeMedals,TotalMedals
1992,CHI,CHL,14,0,0,0,0
1996,CHI,CHL,18,0,0,0,0
2000,CHI,CHL,33,0,0,1,1
2004,CHI,CHL,26,2,0,1,3
2008,CHI,CHL,28,0,1,0,1
2012,CHI,CHL,40,0,0,0,0
2016,CHI,CHL,41,0,0,0,0
1984,CHN,CHN,211,15,8,9,32
1988,CHN,CHN,292,5,11,12,28
1992,CHN,CHN,277,16,22,16,54
1996,CHN,CHN,295,16,22,12,50
2000,CHN,CHN,277,28,16,14,58
2004,CHN,CHN,335,32,17,14,63
2008,CHN,CHN,402,51,21,28,100
2012,CHN,CHN,315,38,27,23,88
2016,CHN,CHN,329,26,18,26,70
1976,CIV,CIV,8,0,0,0,0
1984,CIV,CIV,14,0,1,0,1
1988,CIV,CIV,10,0,0,0,0
1992,CIV,CIV,11,0,0,0,0
1996,CIV,CIV,9,0,0,0,0
2000,CIV,CIV,12,0,0,0,0
2004,CIV,CIV,5,0,0,0,0
2008,CIV,CIV,7,0,0,0,0
2012,CIV,CIV,10,0,0,0,0
2016,CIV,CIV,15,1,0,1,2
1976,CMR,CMR,1,0,0,0,0
1980,CMR,CMR,26,0,0,0,0
1984,CMR,CMR,36,0,0,1,1
1988,CMR,CMR,21,0,0,0,0
1992,CMR,CMR,9,0,0,0,0
1996,CMR,CMR,13,0,0,0,0
2000,CMR,CMR,16,1,0,0,1
2004,CMR,CMR,16,1,0,0,1
2008,CMR,CMR,16,1,0,0,1
2012,CMR,CMR,16,0,0,0,0
2016,CMR,CMR,13,0,0,0,0
1984,COD,COD,9,0,0,0,0
1988,COD,COD,18,0,0,0,0
1992,COD,COD,16,0,0,0,0
1996,COD,COD,3,0,0,0,0
2000,COD,COD,3,0,0,0,0
2004,COD,COD,5,0,0,0,0
2008,COD,COD,5,0,0,0,0
2012,COD,COD,4,0,0,0,0
2016,COD,COD,4,0,0,0,0
1988,COK,COK,8,0,0,0,0
1992,COK,COK,2,0,0,0,0
1996,COK,COK,3,0,0,0,0
2000,COK,COK,2,0,0,0,0
2004,COK,COK,3,0,0,0,0
2008,COK,COK,4,0,0,0,0
2012,COK,COK,9,0,0,0,0
2016,COK,COK,9,0,0,0,0
1976,COL,COL,37,0,0,0,0
1980,COL,COL,12,0,0,0,0
1984,COL,COL,48,0,1,0,1
1988,COL,COL,44,0,0,1,1
1992,COL,COL,38,0,0,1,1
1996,COL,COL,56,0,0,0,0
2000,COL,COL,49,1,0,0,1
2004,COL,COL,66,0,0,2,2
2008,COL,COL,84,0,1,1,2
2012,COL,COL,95,1,3,4,8
2016,COL,COL,108,3,2,3,8
1996,COM,COM,4,0,0,0,0
2000,COM,COM,2,0,0,0,0
2004,COM,COM,3,0,0,0,0
2008,COM,COM,3,0,0,0,0
2012,COM,COM,3,0,0,0,0
2016,COM,COM,4,0,0,0,0
1996,CPV,CPV,3,0,0,0,0
2000,CPV,CPV,2,0,0,0,0
2004,CPV,CPV,3,0,0,0,0
2008,CPV,CPV,2,0,0,0,0
2012,CPV,CPV,3,0,0,0,0
2016,CPV,CPV,5,0,0,0,0
1976,CRC,CRI,10,0,0,0,0
1980,CRC,CRI,22,0,0,0,0
1984,CRC,CRI,16,0,0,0,0
1988,CRC,CRI,27,0,1,0,1
1992,CRC,CRI,20,0,0,0,0
1996,CRC,CRI,13,1,0,0,1
2000,CRC,CRI,9,0,0,2,2
2004,CRC,CRI,8,0,0,0,0
2008,CRC,CRI,8,0,0,0,0
2012,CRC,CRI,11,0,0,0,0
2016,CRC,CRI,11,0,0,0,0
1992,CRO,HRV,27,0,1,2,3
1996,CRO,HRV,59,1,1,0,2
2000,CRO,HRV,59,1,0,1,2
2004,CRO,HRV,63,1,2,2,5
2008,CRO,HRV,77,0,2,3,5
2012,CRO,HRV,61,3,1,2,6
2016,CRO,HRV,56,5,3,2,10
1976,CUB,CUB,105,6,4,3,13
1980,CUB,CUB,149,8,7,5,20
1992,CUB,CUB,108,14,6,11,31
