OlympicYear,ISOCode,Country,Population,GDPpC
1992,ETH,Ethiopia,49.82108307,648.493498116158
1996,ETH,Ethiopia,57.3098793,560.816947314701
2000,ETH,Ethiopia,64.6400528,524.518723320102
2004,ETH,Ethiopia,72.54514313,477.058771777214
2008,ETH,Ethiopia,81.00041199,764.970839131654
2012,ETH,Ethiopia,90.04675293,1075.05568263249
2016,ETH,Ethiopia,99.87303162,1450.52514627972
1992,FIN,Finland,5.019124985,23340.3684805829
1996,FIN,Finland,5.119005203,24622.0782948479
2000,FIN,Finland,5.175926208,31433.048707019
2004,FIN,Finland,5.227103233,32574.277149349
2008,FIN,Finland,5.298014164,39887.2801126018
2012,FIN,Finland,5.389242172,41382.9345911977
2016,FIN,Finland,5.481966019,40421.8633482923
1992,FJI,Fiji,0.735472977,5503.89204442518
1996,FJI,Fiji,0.775497973,5883.31269564776
2000,FJI,Fiji,0.806493998,6028.74539061356
2004,FJI,Fiji,0.816627979,5848.90191840953
2008,FJI,Fiji,0.834811985,6289.63139286986
2012,FJI,Fiji,0.867085993,7410.17706879276
2016,FJI,Fiji,0.892148972,8491.14218337069
1992,FRA,France,58.83193588,24931.0999725002
1996,FRA,France,59.94758224,25762.373431793
2000,FRA,France,61.14639664,30564.7712326095
2004,FRA,France,62.50452042,31566.6108905728
2008,FRA,France,64.01905823,36463.2004053147
2012,FRA,France,65.48111725,37861.7432646203
2016,FRA,France,66.66553497,39247.2587398784
1992,GAB,Gabon,0.978223026,9112.61210896911
1996,GAB,Gabon,1.086137056,8654.63621011012
2000,GAB,Gabon,1.200773001,7821.48509100264
2004,GAB,Gabon,1.328145981,10472.1808889771
2008,GAB,Gabon,1.489192963,14476.7759623103
2012,GAB,Gabon,1.697100997,15253.3333701176
2016,GAB,Gabon,1.930174947,12813.4282534546
1992,GBR,United Kingdom,57.33944702,22394.5632847158
1996,GBR,United Kingdom,57.97832108,25831.6142499792
2000,GBR,United Kingdom,58.74672699,31109.6246317024
2004,GBR,United Kingdom,59.58022308,34487.6352215229
2008,GBR,United Kingdom,61.41466141,37910.1984208106
2012,GBR,United Kingdom,63.81188202,36591.390601333
2016,GBR,United Kingdom,65.39707947,40705.4033845833
1992,GEO,Georgia,5.370648861,9199.5081802463
1996,GEO,Georgia,5.020061016,2527.44550704879
2000,GEO,Georgia,4.773169041,2914.4834701026
2004,GEO,Georgia,4.579082012,3698.52592192446
2008,GEO,Georgia,4.390534878,5908.85393713526
2012,GEO,Georgia,4.171256065,8059.49251403726
2016,GEO,Georgia,3.951524019,10487.4765864355
1992,GHA,Ghana,15.03951359,2909.3480602387
1996,GHA,Ghana,16.76046753,2616.27080518559
2000,GHA,Ghana,18.47761154,2731.38509004503
2004,GHA,Ghana,20.44678116,2930.03484417398
